date,adj_close
2025-07-23,149.39380606726357
2025-07-24,151.2661539422603
2025-07-25,152.4084121437267
2025-07-26,152.72936920677185
2025-07-27,151.13003737950135
2025-07-28,151.62010360092313
2025-07-29,151.67492472862335
2025-07-30,152.28907168802314
2025-07-31,154.16497377181574
2025-08-01,156.12110210528544
2025-08-02,154.12627393997784
2025-08-03,156.11294570109277
2025-08-04,156.81606067594484
2025-08-05,157.67209255876674
2025-08-06,158.10817913900837
2025-08-07,157.32207390012422
2025-08-08,157.63680947165514
2025-08-09,159.19271758678988
2025-08-10,159.2936356760715
2025-08-11,160.4204556548594
2025-08-12,159.77853522417655
2025-08-13,160.70745937536967
2025-08-14,161.03494292428576
2025-08-15,160.44973475888878
2025-08-16,160.17396529087029
2025-08-17,162.2617921320164
2025-08-18,162.06414703155488
2025-08-19,160.31001969311671
2025-08-20,161.488025661377
2025-08-21,161.45902790030257
