date,ticker,price
2024-01-01,AAPL,150.300305833165
2024-01-02,AAPL,149.62979258240674
2024-01-03,AAPL,150.88841445989203
2024-01-04,AAPL,152.04404541867626
2024-01-05,AAPL,152.94070739088926
2024-01-06,AAPL,151.8035314192445
2024-01-07,AAPL,151.4828653929115
2024-01-08,AAPL,152.00784554012517
2024-01-09,AAPL,152.7102614448025
2024-01-10,AAPL,150.24345649074306
2024-01-11,AAPL,149.76269215690215
2024-01-12,AAPL,151.0620442513897
2024-01-13,AAPL,150.00233982921685
2024-01-14,AAPL,149.93039600257006
2024-01-15,AAPL,152.61453888034094
2024-01-16,AAPL,152.10126665977603
2024-01-17,AAPL,153.95077521184896
2024-01-18,AAPL,154.16809619177795
2024-01-19,AAPL,153.18903043603223
2024-01-20,AAPL,154.39622934121755
